Project,Location,Abstract,URL,Latitude,Longitude,Species,Publication Type,Author,Year,Publication,Key Words,type,Path
Large herbivores surf waves of green-up in spring,"Wyoming, Utah","The green wave hypothesis (GWH) states that migrating animals should track or «surfê high-quality forage at the leading edge of spring green-up. To index such high-quality forage, recent work proposed the instantaneous rate of green-up (IRG), i.e. rate of change in the normalized difference vegetation index over time. Despite this important advancement, no study has tested the assumption that herbivores select habitat patches at peak IRG. We evaluated this assumption using step selection functions parametrized with movement data during the green-up period from two populations each of bighorn sheep, mule deer, elk, moose and bison, totalling 463 individuals monitored 1_3 years from 2004 to 2014. Accounting for variables that typically influence habitat selection for each species, we found seven of 10 populations selected patches exhibiting high IRG†supporting the GWH. Nonetheless, large herbivores selected for the leading edge, trailing edge and crest of the IRG wave, indicating that other mechanisms (e.g. ruminant physiology) or measurement error inherent with satellite data affect selection for IRG. Our evaluation indicates that IRG is a useful tool for linking herbivore movement with plant phenology, paving the way for significant advancements in understanding how animals track resource quality that varies both spatially and temporally.",https://doi.org/10.1098/rspb.2016.0456,41.661066,-111.023474,"Mule Deer, Bighorn Sheep, Elk, Moose, Bison",Research Paper,,2016,Proceedings of the Royal Society,,estimated,images/EcologyLetters.png
Learning and animal movement,,"Integrating diverse concepts from animal behavior, movement ecology, and machine learning, we develop an overview of the ecology of learning and animal movement. Learning-based movement is clearly relevant to ecological problems, but the subject is rooted firmly in psychology, including a distinct terminology. We contrast this psychological origin of learning with the task-oriented perspective on learning that has emerged from the field of machine learning. We review conceptual frameworks that characterize the role of learning in movement, discuss emerging trends, and summarize recent developments in the analysis of movement data. We also discuss the relative advantages of different modeling approaches for exploring the learning-movement interface. We explore in depth how individual and social modalities of learning can matter to the ecology of animal movement, and highlight how diverse kinds of field studies, ranging from translocation efforts to manipulative experiments, can provide critical insight into the learning process in animal movement",https://doi.org/10.3389/fevo.2021.681704,,,,Review Paper,"Lewis, M.A., W.F. Fagan, M. Auger-M_th_, J. Frair, J. Fryxell, C. Gros, E. Gurarie, S. Healy, and_J.A. Merkle.",2021,Frontiers in Ecology and Evolution,"animal cognition, decision-making, migration ecology, reinforcement statistical learning, translocation",estimated,images/EcologyLetters.png
Linking spring phenology with mechanistic models of host movement to predict disease transmission risk,Greater Yellowstone,"Disease models typically focus on temporal dynamics of infection, while often neglecting environmental processes that determine host movement. In many systems, however, temporal disease dynamics may be slow compared to the scale at which environmental conditions alter host space-use and accelerate disease transmission. Using a mechanistic movement modelling approach, we made space-use predictions of a mobile host (elk [Cervus Canadensis] carrying the bacterial disease brucellosis) under environmental conditions that change daily and annually (e.g., plant phenology, snow depth), and we used these predictions to infer how spring phenology influences the risk of brucellosis transmission from elk (through aborted foetuses) to livestock in the Greater Yellowstone Ecosystem. Using data from 288 female elk monitored with GPS collars, we fit step selection functions (SSFs) during the spring abortion season and then implemented a master equation approach to translate SSFs into predictions of daily elk distribution for five plausible winter weather scenarios (from a heavy snow, to an extreme winter drought year). We predicted abortion events by combining elk distributions with empirical estimates of daily abortion rates, spatially varying elk seroprevelance and elk population counts. Our results reveal strong spatial variation in disease transmission risk at daily and annual scales that is strongly governed by variation in host movement in response to spring phenology. For example, in comparison with an average snow year, years with early snowmelt are predicted to have 64% of the abortions occurring on feedgrounds shift to occurring on mainly public lands, and to a lesser extent on private lands. Synthesis and applications. Linking mechanistic models of host movement with disease dynamics leads to a novel bridge between movement and disease ecology. Our analysis framework offers new avenues for predicting disease spread, while providing managers tools to proactively mitigate risks posed by mobile disease hosts. More broadly, we demonstrate how mechanistic movement models can provide predictions of ecological conditions that are consistent with climate change but may be more extreme than has been observed historically.",10.1111/1365-2664.13022,44.426069,-110.592316,Elk,Research Paper,,2017,Journal of Applied Ecology,,estimated,images/AppliedEcology.png
Managing genetic diversity and extinction risk for a rare plains bison (Bison bison bison) population,Canada and USA,"Unfenced plains bison are rare and only occur in a small number of locations throughout Canada and the United States. We examined management guidelines for maintenance of genetic health and population persistence for a small and isolated population of plains bison that occupy the interface between a protected national park and private agricultural lands. To address genetic health concerns, we measured genetic diversity relative to other populations and assessed the potential effects of genetic augmentation. We then used individual-based population viability analyses (PVA) to determine the minimum abundance likely to prevent genetic diversity declines. We assessed this minimum relative to a proposed maximum social carrying capacity related to bison use of human agricultural lands. We also used the PVA to assess the probability of population persistence given the limiting factors of predation, hunting, and disease. Our results indicate that genetic augmentation will likely be required to achieve genetic diversity similar to that of other plains bison populations. We also found that a minimum population of 420 bison yields low probability of additional genetic loss while staying within society-based maxima. Population estimates based on aerial surveys indicated that the population has been below this minimum since 2007. Our PVA simulations indicate that current hunting practices will result in undesirable levels of population extinction risk and further declines in genetic variability. Our study demonstrates that PVA can be used to evaluate potential management scenarios as they relate to long-term genetic conservation and population persistence for rare species.",10.1007/s00267-019-01206-2,43.076662,-107.28605,Bison,Research Paper,,2019,Enviornmental Management,Conservation; Genetic diversity; Population thresholds; Social carrying capacity; Sustainable harvest.,generalized,images/EcologyLetters.png
Mapping out a future for ungulate migrations.,,"Migration of ungulates (hooved mammals) is a fundamental ecological process that promotes abundant herds, whose effects cascade up and down terrestrial food webs. Migratory ungulates provide the prey base that maintains large carnivore and scavenger populations and underpins terrestrial biodiversity. When ungulates move in large aggregations, their hooves, feces, and urine create conditions that facilitate distinct biotic communities. The migrations of ungulates have sustained humans for thousands of years, forming tight cultural links among Indigenous people and local communities. Yet ungulate migrations are disappearing at an alarming rate (1). Efforts by wildlife managers and conservationists are thwarted by a singular challenge: Most ungulate migrations have never been mapped in sufficient detail to guide effective conservation. Without a strategic and collaborative effort, many of the world's great migrations will continue to be truncated, severed, or lost in the coming decades. Fortunately, a combination of animal tracking datasets, historical records, and local and Indigenous knowledge can form the basis for a global atlas of migrations, designed to support conservation action and policy at local, national, and international levels.",https://www.science.org/doi/10.1126/science.abf0998,,,,,,2021,Science,,estimated,images/Science.png
Migrating bison engineer the green wave,Greater Yellowstone,"Newly emerging plants provide the best forage for herbivores. To exploit this fleeting resource, migrating herbivores align their movements to surf the wave of spring green-up. With new technology to track migrating animals, the Green Wave Hypothesis has steadily gained empirical support across a diversity of migratory taxa. This hypothesis assumes the green wave is controlled by variation in climate, weather, and topography, and its progression dictates the timing, pace, and extent of migrations. However, aggregate grazers that are also capable of engineering grassland ecosystems make some of the worldês most impressive migrations, and it is unclear how the green wave determines their movements. Here we show that Yellowstoneês bison (Bison bison) do not choreograph their migratory movements to the wave of spring green-up. Instead, bison modify the green wave as they migrate and graze. While most bison surfed during early spring, they eventually slowed and let the green wave pass them by. However, small-scale experiments indicated that feedback from grazing sustained forage quality. Most importantly, a 6-fold decadal shift in bison density revealed that intense grazing caused grasslands to green up faster, more intensely, and for a longer duration. Our finding broadens our understanding of the ways in which animal movements underpin the foraging benefit of migration. The widely accepted Green Wave Hypothesis needs to be revised to include large aggregate grazers that not only move to find forage, but also engineer plant phenology through grazing, thereby shaping their own migratory movements.",https://doi.org/10.1073/pnas.1913783116,44.412317,-110.594736,Bison,Research Paper,"Chris Geremia, Jerod A. Merkle, Daniel R. Eacker, Rick L. Wallen, P.J. White, Mark Hebblewhite, Matthew J. Kauffman",2019,Proceedings of Natural Academy of Science,"grazing lawn, green wave, migration, surfing",generalized,images/EcologyLetters.png
Migration Mapper: Identifying movement corridors and seasonal ranges for large mammal conservation,,"Modern tracking technology has facilitated a novel understanding of terrestrial mammal movement while revealing that movements are being truncated and lost. The first step towards conserving mobile animals is identifying movement corridors and key seasonal ranges. Yet, the identification and subsequent mapping of these important areas has remained a challenge due to the analytical skills necessary to conduct such analyses.Migration Mapper (MM) is a user-friendly software that provides tools to analyse global positioning system (GPS) collar data to create season-specific, population-level polygons representing areas where most of a population moves (i.e. movement corridors) and areas where most of a population spends time (e.g. high-use areas, seasonal ranges).",https://doi.org/10.1111/2041-210X.13976,41.403418,-105.640246,Mule Deer,Practical Tools,"Jerod A. Merkle,_Josh Gage,_Hall Sawyer,_Blake Lowrey,_Matthew J. Kauffman",2022,Methods in Ecology and Evolution,"movement ecology, home range, migration corridors, occurrence distribution, seasonal ranges, stopovers, ungulate conservation, utilization distribution",estimated,images/EcologyEvolutionApplied.png
Migratory disturbance thresholds with mule deer and energy development,,"Fine-scale movement data has transformed our knowledge of ungulate migration ecology and now provides accurate, spatially explicit maps of migratory routes that can inform planning and management at local, state, and federal levels. Among the most challenging land use planning issues has been developing energy resources on public lands that overlap with important ungulate habitat, including the migratory routes of mule deer (Odocoileus hemionus). We generally know that less development is better for minimizing negative effects and maintaining habitat function, but we lack information on the amount of disturbance that animals can tolerate before reducing use of or abandoning migratory habitat. We used global positioning system data from 56 deer across 15 years to evaluate how surface disturbance from natural gas well pads and access roads in western Wyoming, USA, affected habitat selection of mule deer during migration and whether any disturbance threshold(s) existed beyond which use of migratory habitat declined. We used resource and step selection functions to examine disturbance thresholds at 3 different spatial scales. Overall, migratory use by mule deer declined as surface disturbance increased. Based on the weight of evidence from our 3 independent but complementary metrics, declines in migratory use related to surface disturbance were non-linear, where migratory use sharply declined when surface disturbance from energy development exceeded 3%. Disturbance thresholds may vary across regions, species, or migratory habitats (e.g., stopover sites). Such information can help with management and land use decisions related to mineral leasing and energy development that overlap with the migratory routes of ungulates. ",https://doi.org/10.1002/jwmg.21847,41.515976,-110.820243,Mule Deer,Research Paper,"Hall Sawyer,_Mallory S. Lambert,_Jerod A. Merkle",2020,Journal of Wildlife Management,"disturbance thresholds, energy development, habtiat selection, migratory behavior, movement ecology, ungulate migration",estimated,images/wildlifemanagement.png
Migratory plasticity is not ubiquitous among large herbivores,Western States,"The migratory movements of wild animals can promote abundance and support ecosystem functioning. For large herbivores, mounting evidence suggests that migratory behaviour is an individually variable trait, where individuals can easily switch between migrant and resident tactics. The degree of migratory plasticity, including_whether_and_where_to migrate, has important implications for the ecology and conservation of large herbivores in a changing world.",https://doi.org/10.1111/1365-2656.12926,43.076703,-107.286033,Mule Deer,Research Paper,,2018,Journal of Animal Ecology,,estimated,images/JournalAnimalEcology.png
Modelling elk-to-livestock transmission risk to predict hotspots of brucellosis spillover,Greater Yellowstone,"Wildlife reservoirs of infectious disease are a major source of human-wildlife conflict because of the risk of potential spillover associated with commingling of wildlife and livestock. In the Greater Yellowstone Ecosystem, the presence of brucellosis (Brucella abortus) in free-ranging elk (Cervus canadensis) populations is of significant management concern because of the risk of disease transmission from elk to livestock. We identified how spillover risk changes through space and time by developing resource selection functions using telemetry data from 223 female elk to predict the relative probability of female elk occurrence daily during the transmission risk period. We combined these spatiotemporal predictions with elk seroprevalence, demography, and transmission timing data to identify when and where abortions (the primary transmission route of brucellosis) were most likely to occur. Additionally, we integrated our predictions of transmission risk with spatiotemporal data on areas of potential livestock use to estimate the daily risk to livestock. We predicted that approximately half of the transmission risk occurred on areas where livestock may be present (i.e., private property or grazing allotments). Of the transmission risk that occurred in livestock areas, 98% of it was on private ranchlands as opposed to state or federal grazing allotments. Disease prevalence, transmission timing, host abundance, and host distribution were all important factors in determining the potential for spillover risk. Our fine-resolution (250-m spatial, 1-day temporal), large-scale (17,732_km2) predictions of potential elk-to-livestock transmission risk provide wildlife and livestock managers with a useful tool to identify higher risk areas in space and time and proactively focus actions in these areas to separate elk and livestock to reduce spillover risk.",https://doi.org/10.1002/jwmg.21645,44.511415,-110.62392,Elk,Research Paper,,2019,Journal of Wildlife Management,,estimated,images/wildlifemanagement.png
Multi-mode movement decisions across widely ranging behavioral processes,,"Movement of organisms plays a fundamental role in the evolution and diversity of life. Animals typically move at an irregular pace over time and space, alternating among movement states. Understanding movement decisions and developing mechanistic models of animal distribution dynamics can thus be contingent to adequate discrimination of behavioral phases. Existing methods to disentangle movement states typically require a follow-up analysis to identify state-dependent drivers of animal movement, which overlooks statistical uncertainty that comes with the state delineation process. Here, we developed population-level, multi-state step selection functions (HMM-SSF) that can identify simultaneously the different behavioral bouts and the specific underlying behavior-habitat relationship. Using simulated data and relocation data from mule deer (Odocoileus hemionus), plains bison (Bison bison bison) and plains zebra (Equus quagga), we illustrated the HMM-SSF robustness, versatility, and predictive ability for animals involved in distinct behavioral processes: foraging, migrating and avoiding a nearby predator. Individuals displayed different habitat selection pattern during the encamped and the travelling phase. Some landscape attributes switched from being selected to avoided, depending on the movement phase. We further showed that HMM-SSF can detect multi-modes of movement triggered by predators, with prey switching to the travelling phase when predators are in close vicinity. HMM-SSFs thus can be used to gain a mechanistic understanding of how animals use their environment in relation to the complex interplay between their needs to move, their knowledge of the environment and navigation capacity, their motion capacity and the external factors related to landscape heterogeneity.",https://doi.org/10.1371/journal.pone.0272538,42.8113,-109.058368,"Mule Deer, Bison, Zebra",Research Paper,"Marie-Caroline Prima, Thierry Duchesne, Jerod A. Merkle, Simon Chamaille-Jammes, Daniel Fortin",2022,PLoS,,estimated,images/EcologyLetters.png
Multi-scale habitat selection of elk in response to beetle-killed forest,Wyoming,"Forests of the Rocky Mountains (USA and Canada) have experienced a large-scale bark-beetle (Dendoctronus ponderosae) epidemic that has led to widespread mortality of pine trees, followed by structural and compositional changes to the forest. The millions of dead trees resulting from this event likely have an effect on ecosystem processes, but currently those effects are mostly unclear. Changes to forest canopy and understory structure are likely to affect behavior and space use of large ungulates as forage abundance, thermal cover, and locomotive costs are presumably altered. We developed and tested hypotheses for how resource selection in summer of female elk (Cervus canadensis_n_=_47, 2012_2016), the primary large mammal in our study area, was influenced by changes in canopy, understory vegetation, and downed logs in bark-beetle affected forest in south-central Wyoming, USA. We employed global positioning system (GPS) technology, an imagery-derived land cover classification specifically depicting beetle-affected forest, and on-the-ground forest measurements to develop resource and step selection functions. At the study area scale, elk avoided beetle-killed forest during nearly all parts of the day and selected for intact conifer forest during the day. At the micro-habitat scale, as canopy cover decreased in beetle-killed areas, there was a concomitant increase in grass biomass and downed logs. Nevertheless, while in the forest, elk did not alter resource selection relative to changes in understory vegetation or downed logs. The boost in forage abundance within beetle-killed areas was insufficient to overcome the presumed increases in energy expenditures associated with locomotion and thermoregulation in beetle-killed forests. The bark-beetle epidemic has altered how elk use the landscape and has resulted in a potential loss of forest habitat that elk use during the day. Our results indicate that habitat treatments (i.e., fire or harvest) that remove standing dead trees and downed logs in beetle-killed forest would further facilitate understory growth while reducing the locomotion costs associated with foraging in beetle-killed forest.",https://doi.org/10.1002/jwmg.21631,41.21974,-107.527855,Elk,Research Paper,,2019,Journal of Wildlife Management,,estimated,images/wildlifemanagement.png
Nowhere to run: pronghorn space use impacted by semi-permeability of barriers,Southern Wyoming,"Animal movement can mediate the ecological consequences of fragmentation; however, barriers such as fences, roads, and railways are becoming a pervasive threat to wildlife. Pronghorn (Antilocapra americana) habitat in western North America has been fragmented by roads, railways, and fences. Although pronghorn are sensitive to barriers, neither the relative permeability of different barriers to crossing nor their influence on space use have been quantified. We used a large global positioning system (GPS)-collar dataset of pronghorn (n_=_1,010 animal-years) in Wyoming, USA, to first quantify the likelihood that pronghorn cross each of 5 different anthropogenic barriers, including fences, county roads, railroads, state highways, and interstate highways (i.e., interstates). Next, we assessed how each barrier influenced pronghorn space use during the winter as indexed by the area occupied, and daily displacement relative to the density of barriers on an individual's winter range. The semi-permeability of the 5 barriers varied substantially, with the interstate being the most severe barrier to pronghorn movement. Pronghorn were >300 times less likely to cross interstates compared to state highways. Although pronghorn space use was rarely influenced by barriers within individual core winter ranges, pronghorn space use was constrained by barriers on the buffered periphery of individual winter ranges. Despite their different permeability to movement, the density of fences and combined interstates and railroads had similarly negative effects on pronghorn space use. Our results illustrate that the degree to which pronghorn avoid crossing barriers may scale up to affect access to habitat. Additionally, our results indicate that the effects of barriers on habitat access are not proportional to their permeability. Our results add to a growing consensus that effective management of mobile species depends on understanding how different kinds of semi-permeable barriers influence access and use of habitats.",https://doi.org/10.1002/jwmg.22212,43.117429,-110.017483,Pronghorn,Research Paper,"Benjamin S. Robb,_Jerod A. Merkle,_Hall Sawyer,_Jeffrey L. Beck,_Matthew J. Kauffman",2022,Journal of Wildlife Management,"fences, movement ecology, roads",estimated,images/wildlifemanagement.png
"Parsing the effects of demography, climate, and management on recurrent brucellosis outbreaks in elk.",Wyoming,"Zoonotic pathogens can harm human health and well-being directly or by impacting livestock. Pathogens that spillover from wildlife can also impair conservation efforts if humans perceive wildlife as pests. Brucellosis, caused by the bacterium Brucella abortus, circulates in elk and bison herds of the Greater Yellowstone Ecosystem and poses a risk to cattle and humans. Our goal was to understand the relative effects of climatic drivers, host demography, and management control programs on disease dynamics.",https://doi.org/10.1111/1365-2664.13553,44.613601,-110.31682,Elk,Research Paper,"Gavin G. Cotterill,_Paul C. Cross,_Jerod A. Merkle,_Jared D. Rogerson,_Brandon M. Scurlock,_Johan T. du Toit",2019,Journal of Applied Ecology,"metapopulation dynamics, partially observed Markov process, pathogen transmission, POMP model, supplemental feeding, zoonotic",generalized,images/AppliedEcology.png
Plasticity in elk migration timing is a response to changing environmental conditions,Greater Yellowstone,"Migration is an effective behavioral strategy for prolonging access to seasonal resources and may be a resilient strategy for ungulates experiencing changing climatic conditions. In the Greater Yellowstone Ecosystem (GYE), elk are the primary ungulate, with approximately 20,000 individuals migrating to exploit seasonal gradients in forage while also avoiding energetically costly snow conditions. How climate-induced changes in plant phenology and snow accumulation are influencing elk migration timing is unknown. We present the most complete record of elk migration across the GYE, spanning 9 herds and 414 individuals from 2001 to 2017, to evaluate the drivers of migration timing and test for temporal shifts. The timing of elk departure from winter range involved a trade-off between current and anticipated forage conditions, while snow melt governed summer range arrival date. Timing of elk departure from summer range and arrival on winter range were both influenced by snow accumulation and exposure to hunting. At the GYE scale, spring and fall migration timing changed through time, most notably with winter range arrival dates becoming almost 50_days later since 2001. Predicted herd-level changes in migration timing largely agreed with observed GYE-wide changes†except for predicted winter range arrival dates which did not reflect the magnitude of change detected in the elk telemetry data. Snow melt, snow accumulation, and spring green-up dates all changed through time, with different herds experiencing different rates and directions of change. We conclude that elk migration is plastic, is a direct response to environmental cues, and that these environmental cues are not changing in a consistent manner across the GYE. The impacts of changing elk migration timing on predator_prey dynamics, carnivore_livestock conflict, disease ecology, and harvest management across the GYE are likely to be significant and complex.",https://doi.org/10.1111/gcb.14629,44.44083,-110.611264,Elk,Research Paper,,2019,Global Change Biology,,generalized,images/globalchange.png
Responses of American black bears to spring resources,Greater Yellowstone,"In temperate regions of the world, food resources are seasonally limited, which causes some wildlife species to seek out nutrient-rich resources to better meet their caloric needs. Animals that utilize high-quality resources may reap fitness benefits as they prepare for mating, migration, or hibernation. American black bears (Ursus americanus) are omnivores that consume both plant and animal food resources to meet macronutrient needs. Black bears capitalize on high-quality food resources, such as soft mast in summer and hard mast during autumn, but we know less about the importance of resource quality during spring. Therefore, we sought to understand the relationship between the spatiotemporal variation in the availability of food and resource selection of black bears during spring. We also aimed to infer potential changes in foraging tactics, from opportunistic foraging to more active selection. Although black bears are described as opportunistic omnivores, we hypothesized they select areas with high-quality forage when available. We instrumented 7 black bears with GPS collars in 2017 and 2018 and estimated fine-scale resource selection with integrated step-selection functions. We found evidence that black bear movements were influenced by forage quality of vegetative food resources. However, we failed to find evidence that black bears actively alter their movements to take advantage of seasonal neonate elk. Although black bears represent a substantial cause of mortality for neonate elk, we found that black bears likely feed on neonates encountered opportunistically while traveling between patches of high-quality forage. Few studies have shown evidence of an omnivorous species capitalizing on spatiotemporal variation in forage quality, yet our data suggest this may be an important strategy for species with diverse diets, particularly where resources are seasonally limited.",https://doi.org/10.1002/ecs2.3773,44.492779,-110.600659,"Black Bear, Elk",Research Paper,"Nathaniel R. Bowersock,_Andrea R. Litt,_Jerod A. Merkle,_Kerry A. Gunther,_Frank T. van Manen",2021,Ecosphere,"forage quality, green-up, resource selection, step-selection functions",estimated,images/Ecosphere.png
Responses to natural gas development differ by season for two migratory ungulates,Wyoming,"While migrating, animals make directionally persistent movements and may only respond to human-induced rapid environmental change (HIREC), such as climate and land-use change, once a threshold of HIREC is surpassed. In contrast, animals on other seasonal ranges (e.g., winter range) make more localized and tortuous movements while foraging and may have the flexibility to adjust the location of their range and the intensity of use within it to minimize interactions with HIREC. Because of these seasonal differences in movement, animals on seasonal ranges should avoid areas that contain any level of HIREC, however, during migration, animals should use areas that contain low levels of HIREC, avoiding it only once a threshold of HIREC has been surpassed. We tested this hypothesis using a decade of GPS collar data collected from migratory mule deer (Odocoileus hemionus;_n_=_56 migration, 143 winter) and pronghorn (Antilocapra americana;_n_=_70 migration, 89 winter) that winter on and migrate through a natural gas field in western Wyoming. Using surface disturbance caused by well pads and roads as an index of HIREC, we evaluated behavioral responses across three spatial scales during winter and migration seasons. During migration, both species tolerated low levels of disturbance. Once a disturbance threshold was surpassed, however, they avoided HIREC. For mule deer, thresholds were consistently ~3%, whereas thresholds for pronghorn ranged from 1% to 9.25% surface disturbance. In contrast to migration, both species generally avoided all levels of HIREC while on winter range. Our study suggests that animal responses to HIREC are mediated by season-specific movement patterns. Our results provide further evidence of ungulates avoiding human disturbance on winter range and reveal disturbance thresholds that trigger mule deer and pronghorn responses during migration: information that managers can use to maintain the ecological function of migration routes and winter ranges.",https://doi.org/10.1002/eap.2652,41.583196,-110.732504,"Mule Deer, Pronghorn",Research Paper,"Mallory Sandoval Lambert,_Hall Sawyer,_Jerod A. Merkle",2022,Ecological Applications,"energy development, habitat selection, movement ecology, migration, human-induced rapid enviornmental change",estimated,images/EcologicalApplications.png
Spatial memory shapes migration and its benefits: evidence from a large herbivore.,South West Wyoming,"From fine_scale foraging to broad_scale migration, animal movement is shaped by the distribution of resources. There is mounting evidence, however, that learning and memory also guide movement. Although migratory mammals commonly track resource waves, how resource tracking and memory guide long_distance migration has not been reconciled. We examined these hypotheses using movement data from four populations of migratory mule deer (n = 91). Spatial memory had an extraordinary influence on migration, affecting movement 2_28 times more strongly than tracking spring green_up or autumn snow depth. Importantly, with only an ability to track resources, simulated deer were unable to recreate empirical migratory routes. In contrast, simulated deer with memory of empirical routes used those routes and obtained higher foraging benefits. For migratory terrestrial mammals, spatial memory provides knowledge of where seasonal ranges and migratory routes exist, whereas resource tracking determines when to beneficially move within those areas.",,42.98882,-109.928641,Mule Deer,Research Paper,"Jerod A. Merkle,_Hall Sawyer,_Kevin L. Monteith,_Samantha P. H. Dwinnell,_Gary L. Fralick,_Matthew J. Kauffman",2019,Ecology Letters,"Cognitive ecology, habitat selection, migration ecology, movement ecology, past experience, spatial memory, step selection function",generalized,images/EcologyLetters.png
Temperature shapes movement and habitat selection by a heat-sensitive ungulate,Minnesota,"Warmer weather caused by climate change poses increasingly serious threats to the persistence of many species, but animals can modify behavior to mitigate at least some of the threats posed by warmer temperatures. Identifying and characterizing how animals modify behavior to avoid the negative consequences of acute heat will be crucial for understanding how animals will respond to warmer temperatures in the future.",https://link.springer.com/article/10.1007/s10980-020-01072-y,47.604126,-93.286876,Moose,Research Paper,,2020,Landscape Ecology,,estimated,images/EcologyLetters.png
The greenscape shapes surfing of resource waves in a large migratory herbivore,Wyoming,"The Green Wave Hypothesis posits that herbivore migration manifests in response to waves of spring green-up (i.e. green-wave surfing). Nonetheless, empirical support for the Green Wave Hypothesis is mixed, and a framework for understanding variation in surfing is lacking. In a population of migratory mule deer (Odocoileus hemionus), 31% surfed plant phenology in spring as well as a theoretically perfect surfer, and 98% surfed better than random. Green-wave surfing varied among individuals and was unrelated to age or energetic state. Instead, the greenscape, which we define as the order, rate and duration of green-up along migratory routes, was the primary factor influencing surfing. Our results indicate that migratory routes are more than a link between seasonal ranges, and they provide an important, but often overlooked, foraging habitat. In addition, the spatiotemporal configuration of forage resources that propagate along migratory routes shape animal movement and presumably, energy gains during migration.",https://doi.org/10.1111/ele.12772,43.076707,-107.285935,Mule Deer,Research Paper,,2017,Ecology Letters,,estimated,images/EcologyLetters.png
To follow or not? How animals in fusion-fission societies handle conflicting information during group decision-making,Canada,"When group members possess differing information about the environment, they may disagree on the best movement decision. Such conflicts result in group break-ups, and are therefore a fundamental driver of fusion-fission group dynamics. Yet, a paucity of empirical work hampers our understanding of how adaptive evolution has shaped plasticity in collective behaviours that promote and maintain fusion-fission dynamics. Using movement data from GPS-collared bison, we found that individuals constantly associated with other animals possessing different spatial knowledge, and both personal and conspecific information influenced an individual's patch choice decisions. During conflict situations, bison used group familiarity coupled with their knowledge of local foraging options and recently sampled resource quality when deciding to follow or leave a group - a tactic that led to energy-rewarding movements. Natural selection has shaped collective behaviours for coping with social conflicts and resource heterogeneity, which maintain fusion-fission dynamics and play an essential role in animal distribution.",10.1111/ele.12457,53.924132,-106.387267,Bison,Research Paper,,2015,Ecology Letters,,estimated,images/EcologyLetters.png
"Ungulate migrations of the western United States, Volume 1",Western States,"Across the western United States, many ungulate herds must migrate seasonally to access resources and avoid harsh winter conditions. Because these migration paths cover vast landscapes (in other words migration distances up to 150 miles [241 kilometers]), they are increasingly threatened by roads, fencing, subdivisions, and other development. Over the last decade, many new tracking studies have been conducted on migratory herds, and analytical methods have been developed that allow for population-level corridors and stopovers to be mapped and prioritized. In 2018, the U.S. Geological Survey assembled a Corridor Mapping Team to provide technical assistance to western states working to map bison, elk, moose, mule deer, and pronghorn migrations using existing Global Positioning System data. Led by the Wyoming Cooperative Fish and Wildlife Research Unit, the team consists of federal scientists, university researchers, and biologists and analysts from participating state agencies.",https://doi.org/10.3133/sir20205101.,41.31372,-105.59254,"Mule Deer, Pronghorn, Elk, Moose, Bison",Technical Report,,2020,U.S. Geological Survey Scientific Investigations Report,movement ecology,estimated,images/Volume1.png
"Ungulate migrations of the western United States, Volume 2",Western States,"Across the western United States, many ungulate herds must migrate seasonally to access resources and avoid harsh winter conditions. Because these migration paths cover vast landscapes (in other words migration distances up to 150 miles [241 kilometers]), they are increasingly threatened by roads, fencing, subdivisions, and other development. Over the last decade, many new tracking studies have been conducted on migratory herds, and analytical methods have been developed that allow for population-level corridors and stopovers to be mapped and prioritized. In 2018, the U.S. Geological Survey assembled a Corridor Mapping Team to provide technical assistance to western states working to map bison, elk, moose, mule deer, and pronghorn migrations using existing Global Positioning System data. Led by the Wyoming Cooperative Fish and Wildlife Research Unit, the team consists of federal scientists, university researchers, and biologists and analysts from participating state agencies.",,41.313722,-105.592537,"Mule Deer, Elk, Pronghorn",Technical Report,,2022,U.S. Geological Survey Scientific Investigations Report,movement ecology,estimated,images/Volume2.png
Wave-like patterns of plant phenology determine ungulate movement tactics,"Wyoming, Idaho, Canada, Europe","Animals exhibit a diversity of movement tactics. Tracking resources that change across space and time is predicted to be a fundamental driver_of animal movement. For example, some migratory ungulates (i.e., hooved mammals) closely track the progression of highly nutritious plant green-up, a phenomenon called _green-wave surfing”. Yet general principles describing how the dynamic nature of resources determine movement tactics are lacking. We tested an emerging theory that predicts surfing and the existence of migratory_behavior_will be favored in environments where green-up is fleeting and moves sequentially across large landscapes (i.e., wave-like green-up). Landscapes exhibiting wave-like patterns of green-up facilitated surfing and explained the existence of migratory behavior across 61 populations of four ungulate species on two continents (n_= 1,696 individuals). At the species level, foraging benefits were equivalent between tactics, suggesting that each movement tactic is fine-tuned to local patterns of plant_phenology. For decades,_ecologists_have sought to understand how animals move to select habitat, commonly defining habitat as a set of static patches. Our findings indicate that animal movement tactics emerge as a function of the flux of resources across space and time, underscoring the need to redefine habitat to include its dynamic attributes. As global habitats continue to be modified by anthropogenic disturbance and climate change, our synthesis provides a generalizable framework to understand how animal movement will be influenced by altered patterns of resource phenology.",https://doi.org/10.1016/j.cub.2020.06.032,43.24185,-110.88909,"Elk, Mule Deer, Red Deer, Roe Deer",Research Paper,,2020,Current Biology,"migration ecology, green wave, resource landscape, residency",estimated,images/CurrentBiology.png
